Cidade,UF,População,Possui_Plano_Municipal,População_sem_Água,População_sem_Esgoto,População_sem_coleta_de_lixo,Domicílios_sujeitos_à_inundações
Picos,PI,78627,Não,4.09,48.33,0.00,19.80
Novo Repartimento,PA,78488,Sim,95.43,--,36.3,2.20
Jaboticabal,SP,78029,Sim,3.83,3.83,2.74,0
Bebedouro,SP,77612,Sim,0.00,0.07,4.71,2.70
Santo Ângelo,RS,77544,Sim,5.86,70.94,5.86,0
Canindé,CE,77484,Não,26.54,79.6,25.61,0.30
Itapetinga,BA,77408,Em elaboração,0.00,5.84,2.92,--
Pirassununga,SP,77330,Sim,8.32,8.32,8.37,0.10
Valença,RJ,77202,Sim,18.14,0.00,13.39,1.50
Tianguá,CE,77111,Não,49.77,80.69,9.22,0
Belo Jardim,PE,76930,Em elaboração,0.00,--,20.00,0.60
Santo Antônio do Descoberto,GO,76871,Em elaboração,11.02,43.31,11.54,6.30
Santana do Araguaia,PA,75995,Não,87.24,--,51.22,1.10
Cataguases,MG,75942,Sim,14.81,38.62,0.00,0.20
Concórdia,SC,75683,Sim,3.45,75.3,20.05,1.00
Itapira,SP,75683,Sim,0.7,0.7,0.37,0
Rio Largo,AL,75662,Em elaboração,39.38,83.59,18.3,2.70
Sant'Ana do Livramento,RS,75647,Sim,8.62,61.26,8.78,0.60
Aracati,CE,75392,Em elaboração,55.04,86.34,21.74,1.30
Arcoverde,PE,75295,Não,0.00,94.99,1.06,0.80
Crateús,CE,75241,Sim,49.86,67.74,17.00,11.90
Oriximiná,PA,74921,Em elaboração,0.56,--,54.09,16.50
Ouro Preto,MG,74824,Sim,12.87,44.5,3.63,0
Cosmópolis,SP,74662,Em elaboração,3.28,8.92,0.00,0.10
Cidade Ocidental,GO,74370,Não,23.78,52.33,6.46,0.10
Ceará-Mirim,RN,74268,Em elaboração,10.85,82.47,5.75,0
Pacajus,CE,74145,Não,56.84,97.76,15.32,0
Irecê,BA,74050,Em elaboração,1.26,84.97,0.00,0.20
Santa Rosa,RS,73882,Sim,11.99,64.91,0.00,3.40
Farroupilha,RS,73758,Sim,13.49,--,13.49,0
Buriticupu,MA,73595,Não,86.14,--,45.14,0
Palmeira dos Índios,AL,73452,Não,6.05,95.43,6.74,--
Amparo,SP,73145,Em elaboração,21.29,25.24,0.00,2.50
Santa Luzia,MA,73105,Em elaboração,64.81,--,48.7,0
Casa Nova,BA,73092,Em elaboração,0.00,55.54,3.48,0
Rio do Sul,SC,72931,Sim,0.00,--,7.21,40.00
Santa Izabel do Pará,PA,72856,Não,13.45,--,0.69,0
Cascavel,CE,72706,Em elaboração,53.27,97.56,14.73,--
Esmeraldas,MG,72512,Em elaboração,33.47,85.81,7.6,0
Alegrete,RS,72493,Sim,10.38,78.76,10.38,7.40
Janaúba,MG,72374,Não,11.23,75.72,9.33,0.60
Venâncio Aires,RS,72373,Sim,37.2,94.95,11.36,5.80
Indaial,SC,72346,Sim,0.00,80.27,1.86,0.30
Castro,PR,72125,Sim,2.28,20.42,16.56,0.10
Goianésia,GO,72045,Sim,9.35,9.98,6.53,0.60
Gaspar,SC,71925,Sim,6.07,97.66,9.63,45.00
São Sebastião do Paraíso,MG,71915,Sim,11.94,15.7,3.87,1.40
Campo Formoso,BA,71754,Em elaboração,49.82,93.55,--,--
Grajaú,MA,70692,Em elaboração,11.62,--,--,--
Biguaçu,SC,70471,Sim,0.00,--,0.00,38.60
Ouricuri,PE,70466,Não,19.49,--,--,--
Embu-Guaçu,SP,70402,Sim,11.16,59.23,2.67,0
Bom Jesus da Lapa,BA,70151,Em elaboração,0.00,68.52,64.89,0.70
Sousa,PB,69997,Não,--,--,--,--
Campo Bom,RS,69981,Sim,23.09,99.87,0.00,--
Estância,SE,69919,Sim,15.23,91.5,14.98,0.30
Capanema,PA,69828,Não,86.46,--,20.28,19.00
Cabedelo,PB,69773,Sim,0.00,61.73,0.01,0.10
Escada,PE,69701,Em elaboração,20.59,--,--,--
Peruíbe,SP,69697,Em elaboração,0.00,20.7,1.00,26.20
Horizonte,CE,69688,Em elaboração,47.43,92.25,5.29,--
Fernandópolis,SP,69680,Sim,0.00,0.00,0.00,0.50
Lucas do Rio Verde,MT,69671,Sim,6.05,52.59,6.05,0
Lençóis Paulista,SP,69533,Sim,2.24,2.24,0.00,3.00
Araranguá,SC,69493,Sim,27.28,85.65,0.00,1.50
Mineiros,GO,69477,Não,0.00,3.21,0.00,0
Itapema,SC,69323,Sim,2.49,23.45,2.49,1.80
Itapecuru Mirim,MA,69233,Sim,42.91,95.49,--,--
Mococa,SP,69072,Não,0.00,0.00,7.76,1.30
Caicó,RN,68726,Em elaboração,0.00,77.54,0.00,1.00
Breu Branco,PA,68597,Sim,92.44,--,5.24,0
Tabatinga,AM,68502,Não,56.21,--,30.45,--
Icó,CE,68303,Não,30.9,77.26,40.61,4.60
Rolândia,PR,68165,Sim,0.01,35.56,5.38,0.10
Pesqueira,PE,68067,Em elaboração,32.92,31.92,20.00,1.40
Januária,MG,67958,Sim,40.41,84.99,36.88,9.90
Formiga,MG,67956,Sim,2.00,8.25,8.86,0.30
Brumado,BA,67468,Sim,20.42,93.3,14.48,0
Conceição do Coité,BA,67394,Em elaboração,13.79,96.75,2.35,0
Ipixuna do Pará,PA,67170,Em elaboração,3.23,--,46.67,--
Vacaria,RS,66916,Sim,6.53,--,6.53,0
Lagoa Santa,MG,66744,Sim,13.77,49.82,1.63,0.30
Camaquã,RS,66686,Sim,21.36,--,0.73,0
Surubim,PE,66192,Não,0.00,78.8,9.35,4.40
Maués,AM,66159,Não,--,--,50.56,1.60
Montenegro,RS,66157,Sim,10.56,--,1.75,0.40
Bertioga,SP,66154,Em elaboração,11.7,40.9,1.63,3.70
União dos Palmares,AL,65963,Em elaboração,21.16,29.05,23.58,1.30
Coroatá,MA,65788,Não,22.95,94.26,--,--
Tupã,SP,65615,Sim,0.00,0.00,4.01,0.20
Pedro Leopoldo,MG,65149,Sim,16.67,36.84,15.58,19.40
Itaberaba,BA,64795,Em elaboração,9.77,71.05,10.49,--
Benevides,PA,64780,Não,21.22,--,0.00,0
Tomé-Açu,PA,64604,Não,20.75,--,25.73,0
Itamaraju,BA,64423,Não,21.23,38.63,2.1,2.10
Itupeva,SP,64330,Em elaboração,13.37,23.85,0.00,8.90
Camocim,CE,64147,Em elaboração,0.84,63.9,31.41,0
Penápolis,SP,64098,Sim,4.49,4.49,4.49,0
Penedo,AL,64005,Não,2.49,--,3.13,3.60
Cruz das Almas,BA,63923,Não,8.98,54.68,0.00,0
Barreirinhas,MA,63891,Em elaboração,71.83,92.61,44.2,0.80
Primavera do Leste,MT,63876,Sim,5.37,7.87,17.76,0
Portel,PA,63831,Não,97.44,--,--,--
Piripiri,PI,63829,Não,7.1,--,21.67,--
Moreno,PE,63792,Não,20.14,71.62,11.46,1.60
Palmares,PE,63745,Sim,15.5,--,0.00,17.90
Acaraú,CE,63556,Em elaboração,68.22,94.84,50.93,0
Batatais,SP,63438,Não,11.56,11.81,4.61,0
Igarapé-Miri,PA,63367,Não,90.49,--,64.11,0
Boituva,SP,63310,Sim,4.47,16.82,5.93,0.10
Cajazeiras,PB,62576,Não,0.00,81.93,26.85,3.40
Carazinho,RS,62413,Sim,1.79,--,1.79,0.80
São Miguel dos Campos,AL,62328,Em elaboração,3.74,48.66,0.53,3.20
Ulianópolis,PA,62286,Não,0.00,98.22,34.18,0
Guapimirim,RJ,62225,Sim,26.44,--,--,0
São Gabriel,RS,62187,Sim,11.01,78.72,11.01,1.20
Viseu,PA,62093,Não,91.64,--,55.2,6.80
Viçosa do Ceará,CE,61916,Sim,79.47,68.79,40.52,0
Mariana,MG,61830,Sim,0.00,0.00,1.62,0
Nova Odessa,SP,61716,Sim,2.00,4.00,1.63,0.30
Monte Mor,SP,61707,Sim,0.00,4.08,0.00,0.40
Barra do Garças,MT,61702,Sim,0.00,27.49,83.59,0
Barbalha,CE,61662,Sim,47.41,91.24,8.08,--
Morada Nova,CE,61590,Sim,4.21,97.73,5.00,11.50
Salgueiro,PE,61561,Em elaboração,0.00,59.79,17.72,0
Irati,PR,61439,Sim,4.32,15.41,20.14,0
Cristalina,GO,61385,Em elaboração,25.38,62.64,26.69,0
Dom Eliseu,PA,61206,Não,22.25,99.46,--,--
Ibitinga,SP,61150,Sim,3.95,4.32,0.00,0
Euclides da Cunha,BA,61112,Em elaboração,32.41,86.38,--,--
Bezerros,PE,60960,Não,5.26,--,0.00,3.60
Rio Bonito,RJ,60930,Não,56.9,27.62,3.98,0.60
Sidrolândia,MS,60792,Em elaboração,41.1,85.25,37.00,0
Mirassol,SP,60768,Não,2.53,2.53,3.32,0
São Bento do Una,PE,60567,Não,48.18,47.6,33.96,--
Jacundá,PA,60517,Em elaboração,60.34,--,11.05,--
Frutal,MG,60508,Sim,23.72,22.48,0.00,--
São Miguel do Guamá,PA,60268,Não,60.82,--,38.17,0.80
Limoeiro do Norte,CE,60232,Sim,2.00,72.56,0.00,4.50
Santo Amaro,BA,60190,Em elaboração,15.74,56.00,0.00,--
Floriano,PI,60111,Não,0.05,73.59,13.51,2.70
Ponte Nova,MG,60003,Sim,0.00,0.00,2.5,--
Juruti,PA,59961,Em elaboração,--,--,--,--
Tutóia,MA,59927,Não,94.81,97.72,49.94,0
Jaguariúna,SP,59921,Sim,0.39,4.63,0.00,0.50
São Borja,RS,59768,Sim,10.59,79.55,6.87,1.90
Cachoeiras de Macacu,RJ,59652,Sim,16.17,--,6.54,0.30
Cruz Alta,RS,59561,Sim,3.54,79.08,3.54,--
Buíque,PE,59448,Não,65.84,24.3,35.66,0
Parobé,RS,59419,Sim,49.14,--,5.57,12.30
Guarabira,PB,59389,Não,0.00,42.22,0.00,3.10
Ipirá,BA,59281,Não,35.91,78.22,32.52,0.50
Tauá,CE,59259,Sim,56.42,93.41,33.66,0.80
Tefé,AM,59250,Não,18.52,--,15.61,28.70
Açu,RN,58743,Sim,21.38,--,15.00,1.00
Mongaguá,SP,58567,Sim,8.23,22.05,0.44,4.10
Santa Isabel,SP,58529,Sim,33.35,55.59,0.00,5.70
União da Vitória,PR,58298,Sim,0.01,66.18,5.00,21.90
Monte Alegre,PA,58289,Não,84.22,--,51.11,19.90
Içara,SC,58055,Em elaboração,0.00,79.05,0.00,8.60
Campo Alegre,AL,57997,Não,11.31,20.17,29.31,--
Vargem Grande,MA,57813,Não,88.77,--,45.99,0
Taquara,RS,57740,Em elaboração,33.49,--,1.28,0.60
Coruripe,AL,57647,Em elaboração,0.00,75.81,11.68,1.60
Taquaritinga,SP,57547,Sim,5.22,5.22,5.22,--
Manicoré,AM,57405,Sim,55.57,--,41.16,0
Alenquer,PA,57390,Não,86.59,--,40.00,--
Paudalho,PE,57346,Não,27.12,--,--,--
Andradina,SP,57245,Sim,0.00,6.66,6.66,0.90
Humaitá,AM,57195,Não,1.84,--,31.04,1.20
Três Pontas,MG,57127,Em elaboração,0.00,0.4,14.07,0.90
Capivari,SP,56973,Sim,5.5,10.73,3.46,1.00
Porto Ferreira,SP,56848,Sim,1.79,1.79,0.00,5.40
Pirapora,MG,56845,Sim,2.85,53.71,2.2,3.70
Mafra,SC,56825,Sim,6.24,--,21.91,5.30
Trairi,CE,56653,Não,85.54,97.24,38.4,0
São Francisco,MG,56625,Em elaboração,42.13,69.2,29.44,12.60
Naviraí,MS,56484,Sim,8.61,59.37,4.4,0
Registro,SP,56463,Sim,0.00,5.63,0.00,1.80
Canguçu,RS,56370,Não,63.02,63.02,63.02,1.40
Artur Nogueira,SP,56247,Não,9.5,11.31,3.55,0.30
Limoeiro,PE,56149,Em elaboração,9.99,--,0.00,--
Nova Andradina,MS,56057,Sim,15.76,62.72,0.00,0
Congonhas,MG,55836,Em elaboração,19.96,35.99,0.00,4.10
Rolim de Moura,RO,55748,Sim,18.2,97.6,18.7,2.20
Acará,PA,55744,Não,86.28,--,--,--
Piedade,SP,55731,Sim,39.66,63.66,28.23,0
Ibiporã,PR,55688,Sim,0.00,1.73,4.78,0
Olímpia,SP,55477,Sim,5.56,5.56,5.56,0
São José do Rio Pardo,SP,55298,Sim,0.00,8.93,5.42,1.60
Catu,BA,55222,Sim,0.46,--,0.51,0.50
Granja,CE,55170,Em elaboração,35.71,96.56,50.82,0.30
Eusébio,CE,55035,Sim,32.13,85.88,0.00,0
Capão da Canoa,RS,55009,Sim,0.6,40.69,0.00,30.80
Jaguaquara,BA,54913,Não,23.87,68.34,8.95,18.20
Araci,BA,54903,Não,35.27,62.3,38.02,0
São Francisco do Sul,SC,54751,Sim,5.25,93.64,0.00,0.50
Acopiara,CE,54687,Em elaboração,67.93,92.94,--,--
Boa Viagem,CE,54680,Em elaboração,27.88,60.6,45.14,0
Vigia,PA,54650,Em elaboração,84.57,--,23.15,--
Canoinhas,SC,54558,Sim,5.52,83.65,26.68,2.80
Capitão Poço,PA,54545,Não,79.76,--,--,2.90
Campo Belo,MG,54338,Sim,3.85,5.05,0.00,0
Beberibe,CE,54315,Sim,86.56,92.54,35.09,0
Vargem Grande Paulista,SP,54315,Sim,2.05,64.66,0.00,0.20
Barra,BA,54225,Sim,--,--,54.49,1.60
Videira,SC,54145,Sim,8.89,99.57,1.63,0.50
Ribeira do Pombal,BA,54097,Em elaboração,30.26,--,16.82,1.40
Marechal Cândido Rondon,PR,54031,Sim,0.00,69.99,16.39,--
Porto Feliz,SP,53698,Sim,0.00,0.00,0.00,3.20
Santo Estêvão,BA,53666,Em elaboração,41.42,91.69,19.37,0
Inhumas,GO,53655,Sim,5.86,23.94,6.51,0.10
Porto Nacional,TO,53618,Sim,7.12,16.43,13.66,--
Tramandaí,RS,53507,Não,2.42,73.08,0.00,20.60
Itapajé,CE,53448,Não,29.7,29.7,29.7,33.30
Itupiranga,PA,53439,Não,88.4,99.03,53.22,1.60
Rondon do Pará,PA,53242,Sim,27.31,--,26.12,0
Lagoa da Prata,MG,53236,Sim,17.3,18.17,1.38,--
Paracambi,RJ,53093,Em elaboração,34.47,27.71,1.88,45.90
Itabirito,MG,52996,Sim,2.01,14.59,1.87,0
Sapé,PB,52977,Em elaboração,33.54,82.71,0.00,0.40
Tobias Barreto,SE,52861,Em elaboração,14.92,29.63,3.27,--
Viana,MA,52852,Em elaboração,--,--,--,--
Marechal Deodoro,AL,52848,Em elaboração,9.81,87.64,9.17,2.00
Prudentópolis,PR,52776,Sim,39.38,49.62,41.26,0.60
São Joaquim da Barra,SP,52737,Sim,1.79,1.79,1.79,0.10
Campos do Jordão,SP,52713,Sim,37.11,46.07,0.00,2.70
Leopoldina,MG,52690,Em elaboração,25.19,0.87,0.76,1.40
Timbaúba,PE,52587,Não,2.25,--,3.02,0
Paraíso do Tocantins,TO,52521,Em elaboração,2.54,74.53,4.8,0
Palmas,PR,52503,Não,2.98,26.34,3.00,0.50
Delmiro Gouveia,AL,52501,Em elaboração,0.63,91.6,8.47,0.30
Óbidos,PA,52473,Não,69.52,--,38.85,3.70
Rurópolis,PA,52473,Não,73.7,--,31.11,0.70
Laranjal do Jari,AP,52302,Sim,70.56,--,0.00,5.00
Xanxerê,SC,52290,Sim,29.24,--,11.3,2.00
Guaxupé,MG,52234,Em elaboração,12.06,16.46,0.00,0.40
Zé Doca,MA,52190,Em elaboração,74.99,--,24.89,0.30
Jaraguá,GO,52160,Em elaboração,21.14,75.03,1.58,0
Alta Floresta,MT,52105,Em elaboração,13.35,55.67,7.88,2.90
Rio Grande da Serra,SP,52009,Sim,14.63,40.34,0.00,0
Pontal,SP,51717,Sim,0.00,0.00,1.87,0.10
Brejo da Madre de Deus,PE,51696,Não,43.25,0.91,12.95,0.10
Jaru,RO,51469,Sim,50.00,--,19.78,3.70
Bom Despacho,MG,51436,Sim,9.92,13.49,1.36,0.10
Quirinópolis,GO,51323,Em elaboração,12.19,12.19,11.7,0
Estância Velha,RS,51292,Sim,19.1,97.33,0.00,0.90
Caetité,BA,51184,Sim,40.18,--,0.00,0
Cabreúva,SP,51130,Sim,22.8,32.85,0.00,0.40
Monte Alto,SP,51039,Sim,0.00,0.00,4.5,0
Louveira,SP,51007,Sim,0.00,11.89,0.00,4.30
Lago da Pedra,MA,50959,Em elaboração,91.62,--,2.08,3.90
Tucano,BA,50903,Não,51.05,81.09,58.11,1.30
Itararé,SP,50778,Não,5.86,13.88,7.64,0.60
Nova Venécia,ES,50751,Sim,36.04,75.82,1.48,2.80
Cerquilho,SP,50631,Sim,7.21,9.65,0.00,0
Bocaiúva,MG,50521,Sim,8.39,18.57,5.00,0.20
Macaúbas,BA,50481,Em elaboração,4.48,72.16,56.07,0
Brejo Santo,CE,50195,Em elaboração,33.49,54.58,26.55,0
Coelho Neto,MA,49804,Não,89.31,--,17.16,--
Iranduba,AM,49718,Em elaboração,28.94,--,29.6,0
Baião,PA,49454,Sim,34.85,--,11.03,7.60
São Gonçalo do Amarante,CE,49306,Não,73.93,86.77,16.19,29.40
Santiago,RS,49298,Sim,8.84,0.00,1.32,0
Jales,SP,49291,Sim,0.00,0.00,6.25,0
Monte Santo,BA,49145,Não,64.29,--,43.11,0
Pacajá,PA,49110,Em elaboração,--,--,67.42,25.00
Pedreira,SP,48992,Sim,1.83,2.00,0.00,7.40
Bom Conselho,PE,48975,Não,29.76,--,--,2.20
Maracaju,MS,48944,Em elaboração,14.71,70.09,13.85,1.30
Lapa,PR,48651,Sim,18.51,37.59,40.02,0
Mauriti,CE,48370,Sim,73.02,94.42,6.97,0
São Benedito,CE,48354,Não,59.09,84.01,20.00,0
Presidente Dutra,MA,48264,Não,72.00,--,21.27,1.20
Tremembé,SP,48228,Em elaboração,0.00,3.23,0.00,0
Nova Mutum,MT,48222,Sim,0.00,--,0.00,0.40
Santa Cruz do Rio Pardo,SP,48207,Sim,0.00,0.00,0.55,0.20
Aquidauana,MS,48184,Em elaboração,22.03,84.72,21.24,2.70
Conceição do Araguaia,PA,48115,Em elaboração,53.03,--,15.83,0
Monte Carmelo,MG,48049,Sim,0.00,15.89,0.49,0
João Pinheiro,MG,47990,Sim,27.26,31.46,1.44,0.20
Diamantina,MG,47924,Sim,15.34,33.2,16.53,0.30
Santana do Ipanema,AL,47910,Não,23.69,81.06,20.00,5.80
Cornélio Procópio,PR,47840,Sim,0.01,0.01,0.08,0
Ribeirão,PE,47813,Em elaboração,29.00,--,--,--
Mairinque,SP,47723,Sim,7.3,21.69,1.2,1.60
Lábrea,AM,47685,Não,39.18,--,35.79,25.00
Mata de São João,BA,47643,Sim,0.91,45.89,10.00,0.10
Atalaia,AL,47540,Não,63.01,--,49.33,5.00
Pederneiras,SP,47523,Sim,0.00,1.29,7.00,0.40
Barras,PI,47298,Não,51.37,--,57.08,1.50
Dracena,SP,47287,Em elaboração,0.00,7.66,7.66,2.70
Sena Madureira,AC,47168,Não,66.56,--,40.57,25.70
São Mateus do Sul,PR,47137,Sim,34.13,59.27,37.69,0
Capão Bonito,SP,47098,Sim,2.34,13.35,7.52,0.20
Araioses,MA,47095,Em elaboração,85.26,--,47.72,0
Toritama,PE,47088,Não,20.2,23.00,0.00,4.10
Niquelândia,GO,47064,Em elaboração,22.38,65.52,--,0
São Gabriel da Cachoeira,AM,47031,Não,49.72,--,38.07,0.70
Morrinhos,GO,46955,Sim,13.82,24.01,13.27,0
Campo Maior,PI,46950,Sim,0.06,--,46.75,--
Medianeira,PR,46940,Em elaboração,0.01,50.28,10.59,0.50
Augusto Corrêa,PA,46937,Não,95.1,--,30.00,2.30
Guajará-Mirim,RO,46930,Não,56.69,92.07,15.48,8.90
Poções,BA,46885,Sim,18.45,--,--,--
Sirinhaém,PE,46845,Em elaboração,41.29,83.4,--,1.60
Osório,RS,46815,Sim,16.03,97.4,1.2,1.00
Guaramirim,SC,46757,Sim,6.97,--,0.12,10.40
Xique-Xique,BA,46562,Não,0.00,85.83,28.54,--
São Lourenço,MG,46539,Em elaboração,0.00,7.5,0.00,5.30
Santo Antônio da Platina,PR,46503,Em elaboração,0.01,0.71,13.49,0
Laguna,SC,46424,Sim,0.00,33.04,0.00,0.20
Livramento de Nossa Senhora,BA,46372,Não,49.52,--,--,--
Santos Dumont,MG,46357,Sim,24.39,47.03,11.56,1.50
Salto de Pirapora,SP,46285,Sim,0.00,18.71,0.00,0.10
Goianira,GO,46278,Em elaboração,4.39,63.26,2.12,0.30
Paraguaçu Paulista,SP,46180,Sim,4.21,4.94,0.00,0.10
Serrana,SP,46166,Não,3.49,3.49,0.00,0.10
Pontes e Lacerda,MT,46105,Em elaboração,16.29,34.83,24.82,0
São Bento,MA,45989,Em elaboração,52.18,--,56.51,0.60
Ipiaú,BA,45969,Sim,9.16,70.95,9.02,1.20
Canela,RS,45957,Sim,8.66,81.24,0.00,2.10
Mangaratiba,RJ,45941,Em elaboração,11.89,--,21.26,1.10
Porangatu,GO,45866,Em elaboração,14.8,54.32,15.64,0
Casimiro de Abreu,RJ,45864,Em elaboração,17.28,41.69,3.5,3.40
Imbituba,SC,45711,Sim,0.00,93.13,0.00,1.30
Timbó,SC,45703,Sim,0.00,--,0.00,42.60
Jardinópolis,SP,45544,Em elaboração,0.00,0.00,4.04,0
Marau,RS,45523,Sim,16.11,82.93,13.22,0
Xinguara,PA,45416,Sim,54.79,94.61,22.38,0
Uruará,PA,45395,Não,--,--,--,--
Mamanguape,PB,45385,Em elaboração,55.65,84.5,19.07,--
Caeté,MG,45364,Sim,2.18,10.49,0.00,0.60
Barra de São Francisco,ES,45301,Não,43.53,77.85,0.00,0.10
Currais Novos,RN,45022,Em elaboração,22.79,36.94,2.27,10.10
Maragogipe,BA,44902,Em elaboração,41.45,67.78,22.53,5.40
Benjamin Constant,AM,44873,Não,53.33,--,46.52,15.80
Paraíba do Sul,RJ,44741,Sim,12.7,28.19,64.24,1.00
Orlândia,SP,44682,Sim,1.58,1.72,2.58,0
União,PI,44649,Não,50.11,56.91,35.02,0.70
Espírito Santo do Pinhal,SP,44607,Sim,9.74,10.87,8.88,3.30
Panambi,RS,44583,Sim,9.19,98.82,0.00,2.00
Presidente Epitácio,SP,44572,Sim,0.00,11.09,0.00,1.50
Teotônio Vilela,AL,44570,Em elaboração,12.5,37.18,0.00,0
São José de Mipibu,RN,44566,Em elaboração,37.32,99.4,55.12,0
Igarapé,MG,44561,Sim,16.96,59.34,6.28,1.00
São Sebastião do Passé,BA,44554,Em elaboração,19.67,94.77,10.22,0.80
Garça,SP,44429,Em elaboração,9.1,9.1,9.1,0
Queimadas,PB,44388,Em elaboração,27.59,98.21,14.39,8.30
Seabra,BA,44370,Não,51.51,--,47.04,22.20
Itaberaí,GO,44329,Em elaboração,17.06,47.54,9.77,0
Santa Rita do Sapucaí,MG,44226,Não,17.72,19.25,0.00,48.00
Amontada,CE,44195,Não,--,--,--,--
Vera Cruz,BA,44185,Não,11.41,75.88,--,--
Paraty,RJ,44175,Sim,4.72,94.34,18.63,41.70
Nova Viçosa,BA,44170,Não,14.11,95.72,14.42,34.40
Campina Grande do Sul,PR,44072,Em elaboração,0.01,1.67,0.00,0.80
Campo Verde,MT,44033,Em elaboração,19.37,31.9,7.74,0
Águas Belas,PE,43923,Não,51.89,62.66,31.7,5.40
Mombaça,CE,43917,Não,72.32,--,45.12,0
Catende,PE,43778,Sim,13.2,--,--,--
Tarauacá,AC,43730,Sim,67.45,--,45.63,--
Santa Quitéria,CE,43719,Não,60.92,0.02,8.51,0
Itápolis,SP,43536,Sim,1.00,1.00,3.06,0.10
São Lourenço do Sul,RS,43501,Sim,43.78,--,18.85,0.80
Santo Antônio da Patrulha,RS,43397,Sim,37.8,99.63,0.67,0
Vargem Grande do Sul,SP,43368,Sim,5.07,5.07,2.58,0.30
Pedra Branca,CE,43359,Não,60.91,--,20.00,--
Visconde do Rio Branco,MG,43351,Sim,24.53,30.13,3.12,34.20
Rosário,MA,43243,Não,1.77,--,41.25,0
Estreito,MA,43097,Em elaboração,--,--,23.43,4.50
Tietê,SP,42946,Sim,9.56,16.83,0.00,0.40
Barreiros,PE,42866,Não,7.31,70.12,--,28.30
Santa Helena,MA,42829,Sim,99.49,--,15.94,24.40
Mucuri,BA,42729,Em elaboração,29.68,65.63,5.8,0
Santo Antônio de Pádua,RJ,42705,Sim,0.58,18.04,23.38,3.40
Rio Negrinho,SC,42684,Sim,0.00,21.05,2.00,10.60
Machado,MG,42682,Não,0.63,0.63,0.00,18.00
Itarema,CE,42595,Não,82.5,96.11,50.64,28.50
Eldorado do Sul,RS,42490,Sim,10.32,83.97,1.38,18.30
Porto de Moz,PA,42456,Não,57.72,--,57.05,43.80
Paranaíba,MS,42401,Em elaboração,11.93,23.28,11.04,0.30
Itabaianinha,SE,42399,Em elaboração,24.32,34.93,40.07,0.10
Almenara,MG,42380,Em elaboração,20.5,28.18,16.00,6.70
Borba,AM,42328,Não,2.53,--,59.55,0
Santa Maria da Boa Vista,PE,42266,Em elaboração,54.67,66.88,52.68,0
Ituverava,SP,42259,Em elaboração,0.00,0.00,5.85,0
Paiçandu,PR,42251,Em elaboração,0.01,0.01,1.37,0.20
Tuntum,MA,42242,Não,62.89,--,28.98,1.30
São Francisco de Itabapoana,RJ,42214,Não,66.46,--,0.03,1.70
Ipu,CE,42148,Em elaboração,9.84,--,5.1,0.20
Amarante do Maranhão,MA,42017,Em elaboração,88.07,--,60.44,--
Entre Rios,BA,42014,Em elaboração,13.16,87.9,0.00,0.80
Bom Jardim,MA,42010,Em elaboração,69.36,--,47.28,1.40
Oliveira,MG,41987,Sim,0.00,0.00,4.26,0.90
Salinas,MG,41864,Sim,13.28,37.02,8.2,5.70
Novo Horizonte,SP,41765,Sim,1.23,1.47,4.56,0
São Mateus do Maranhão,MA,41750,Em elaboração,69.53,--,16.17,0.10
Machadinho D'Oeste,RO,41724,Em elaboração,68.53,--,40.08,0
Charqueadas,RS,41705,Sim,2.35,--,2.35,1.30
Andradas,MG,41704,Em elaboração,26.6,24.99,0.00,4.10
Socorro,SP,41690,Sim,38.58,44.02,10.18,2.10
Goianésia do Pará,PA,41678,Sim,71.21,97.12,31.71,0
Santa Maria de Jetibá,ES,41588,Em elaboração,67.25,78.31,34.52,4.60
Girau do Ponciano,AL,41549,Não,60.84,--,--,1.60
Américo Brasiliense,SP,41545,Sim,1.23,1.23,0.76,0
Muaná,PA,41454,Em elaboração,7.13,--,57.55,--
Colinas,MA,41443,Não,53.66,--,--,--
Dois Vizinhos,PR,41424,Sim,0.01,28.27,22.34,17.20
Remanso,BA,41324,Em elaboração,18.86,39.00,39.75,0
São Manuel,SP,41287,Não,0.00,0.00,2.42,2.40
Guaíra,SP,41283,Sim,0.00,0.00,3.59,0
Sento Sé,BA,41279,Não,0.00,88.2,42.08,0
São Miguel do Oeste,SC,41246,Sim,11.45,97.58,12.72,0
Promissão,SP,41211,Sim,11.43,16.28,15.71,0.50
Rio Real,BA,41209,Não,24.4,--,24.43,0
Brumadinho,MG,41208,Sim,30.59,58.29,2.69,--
Juína,MT,41190,Em elaboração,14.74,94.91,2.94,0
Salinópolis,PA,41164,Em elaboração,10.77,--,--,--
Uruaçu,GO,41150,Em elaboração,7.9,33.84,8.48,0
Colniza,MT,41117,Em elaboração,85.97,--,41.98,2.10
Curuçá,PA,41093,Não,--,--,33.1,0
Várzea Alegre,CE,41078,Não,51.45,54.04,37.83,6.10
Buritis,RO,41043,Sim,87.58,--,44.04,0
Autazes,AM,41005,Não,73.52,--,56.77,25.00
Guaraciaba do Norte,CE,40921,Não,75.14,94.31,50.00,0
Araquari,SC,40890,Em elaboração,9.95,96.02,0.00,0
Lajedo,PE,40883,Em elaboração,0.00,--,21.73,--
Guariba,SP,40857,Sim,0.00,0.00,2.08,0
São Paulo de Olivença,AM,40837,Não,65.59,--,58.37,0.50
Jeremoabo,BA,40832,Não,52.73,36.97,31.43,0
