Cidade,UF,População,Possui Plano Municipal,População sem Água,População sem Esgoto,População sem coleta de lixo,Domicílios sujeitos à inundações
Rio Fortuna,SC,4630,Sim,0.52,--,0.50,0.51
Viadutos,RS,4628,Sim,0.50,--,0.50,0.00
Mato Leitão,RS,4627,Sim,0.00,--,0.31,0.00
São João da Urtiga,RS,4625,Sim,0.52,--,0.52,0.00
Ponte Alta,SC,4619,Sim,0.07,--,0.04,0.00
São João da Canabrava,PI,4619,Não,0.67,--,0.72,0.00
Capela Nova,MG,4616,Em elaboração,0.57,0.59,0.35,0.00
Bertópolis,MG,4609,Em elaboração,0.42,0.47,0.35,0.03
Lupércio,SP,4608,Não,0.07,0.08,0.09,0.00
São Bentinho,PB,4602,Em elaboração,0.22,--,0.31,0.00
Santa Carmem,MT,4600,Sim,0.25,--,0.25,0.00
Rosário do Ivaí,PR,4595,Sim,0.13,0.46,0.27,0.00
Novo Planalto,GO,4592,Não,0.35,--,0.35,0.00
Coronel Macedo,SP,4591,Sim,0.04,0.11,0.21,0.00
Ponte Alta do Bom Jesus,TO,4586,Não,0.45,--,0.00,0.00
Cordilheira Alta,SC,4585,Sim,0.16,0.76,0.32,0.00
Tunas,RS,4585,Sim,0.00,0.69,0.56,0.00
Romelândia,SC,4584,Sim,0.54,--,0.56,0.04
Santa Cruz da Conceição,SP,4584,Sim,0.31,0.35,0.13,0.00
Flor da Serra do Sul,PR,4583,Em elaboração,0.29,--,0.47,0.01
Conceição de Ipanema,MG,4581,Em elaboração,0.00,0.00,0.45,0.01
São Lourenço do Piauí,PI,4581,Não,0.58,--,--,--
Bonópolis,GO,4579,Não,0.64,--,0.00,0.00
João Ramalho,SP,4577,Em elaboração,0.23,0.23,0.10,0.00
Cantagalo,MG,4575,Não,0.46,--,0.41,--
Guaribas,PI,4573,Não,0.58,--,0.71,0.01
Riachão do Poço,PB,4571,Não,--,--,--,--
São Pedro da União,MG,4563,Não,0.41,0.04,0.00,0.00
Riachão do Bacamarte,PB,4562,Em elaboração,1.00,--,--,--
Aguanil,MG,4557,Não,0.36,0.42,0.21,0.00
Socorro do Piauí,PI,4557,Não,0.55,--,0.53,--
Santa Teresinha,PB,4550,Não,0.28,--,--,0.00
Buritizal,SP,4547,Não,0.11,0.11,0.10,0.00
Marcos Parente,PI,4546,Em elaboração,0.06,0.73,0.08,0.00
Fronteira dos Vales,MG,4542,Em elaboração,0.33,0.33,--,0.00
São Bento do Trairí,RN,4541,Em elaboração,0.19,0.52,--,--
Mundo Novo,GO,4540,Em elaboração,0.27,--,0.00,0.00
São Félix de Balsas,MA,4540,Não,0.87,--,--,--
Maçambará,RS,4539,Em elaboração,0.72,--,0.67,0.00
Montividiu do Norte,GO,4538,Em elaboração,0.57,--,0.67,0.01
Ingazeira,PE,4537,Não,0.33,--,0.45,0.00
Ribeirão do Sul,SP,4537,Não,0.18,0.20,0.00,0.00
Canaã,MG,4533,Sim,0.58,0.00,0.40,0.01
Lindóia do Sul,SC,4530,Sim,0.39,--,0.42,0.09
Vicente Dutra,RS,4530,Em elaboração,0.56,--,0.34,0.00
Matinhas,PB,4528,Não,0.80,0.00,0.85,0.00
Morro Cabeça no Tempo,PI,4527,Não,--,--,--,0.04
Senador Georgino Avelino,RN,4527,Em elaboração,0.11,--,0.02,--
Turvânia,GO,4526,Em elaboração,0.14,--,0.20,--
Murutinga do Sul,SP,4525,Sim,0.39,0.43,0.00,0.00
Riqueza,SC,4525,Sim,0.32,--,0.55,0.02
Jardim do Mulato,PI,4522,Não,0.69,--,--,--
Ritápolis,MG,4521,Em elaboração,0.28,--,0.12,0.00
Porto Lucena,RS,4514,Sim,0.57,--,0.29,0.41
Bocaina,PI,4509,Em elaboração,0.45,0.84,0.46,0.00
Tunápolis,SC,4507,Sim,0.32,0.95,0.65,0.08
Ramilândia,PR,4500,Sim,0.30,--,0.51,0.00
Cariri do Tocantins,TO,4499,Sim,0.44,--,0.44,0.00
Ribeira do Piauí,PI,4499,Não,0.00,--,0.50,0.00
Lindoeste,PR,4488,Sim,0.06,--,--,0.00
Wall Ferraz,PI,4479,Em elaboração,0.60,--,0.40,0.00
São João do Pacuí,MG,4476,Sim,0.01,--,0.53,--
Curralinhos,PI,4475,Não,--,--,0.48,0.00
Iguaraçu,PR,4475,Sim,0.00,--,0.11,0.00
José Gonçalves de Minas,MG,4474,Em elaboração,0.67,0.74,0.47,0.00
Indianópolis,PR,4472,Sim,0.00,--,0.27,0.00
Lagoa do Tocantins,TO,4470,Sim,0.02,--,--,--
Foz do Jordão,PR,4466,Não,0.00,--,0.10,0.00
Onda Verde,SP,4462,Sim,0.00,0.00,0.22,0.00
Flores do Piauí,PI,4461,Em elaboração,0.40,0.89,0.54,--
Fortaleza de Minas,MG,4460,Sim,0.33,0.28,0.28,0.01
Serranópolis do Iguaçu,PR,4460,Sim,0.12,--,0.49,0.00
Pequi,MG,4457,Sim,0.00,0.42,0.28,0.00
Rodolfo Fernandes,RN,4457,Não,0.00,--,0.08,0.00
São Braz do Piauí,PI,4454,Não,0.93,--,--,0.00
Tejupá,SP,4452,Não,0.25,0.29,0.33,0.00
Novo Acordo,TO,4450,Não,0.02,--,--,--
Carvalhos,MG,4445,Não,0.56,0.65,0.47,0.05
Quinta do Sol,PR,4444,Não,0.00,--,0.01,0.00
Jerumenha,PI,4443,Em elaboração,0.28,--,--,--
Paineiras,MG,4440,Não,0.26,--,0.22,0.00
Bernardo Sayão,TO,4439,Não,0.20,--,--,--
Couto de Magalhães de Minas,MG,4436,Sim,0.16,0.24,0.09,0.00
Dom Joaquim,MG,4436,Em elaboração,0.43,0.62,0.32,0.07
Piedade do Rio Grande,MG,4436,Não,0.32,--,0.14,--
Funilândia,MG,4434,Sim,0.49,0.71,0.10,0.00
Cruzeiro do Sul,PR,4430,Em elaboração,0.00,--,0.25,0.00
Itaguajé,PR,4426,Sim,0.00,--,0.20,0.00
Erval Velho,SC,4423,Sim,0.07,0.39,0.35,0.03
Quarto Centenário,PR,4420,Sim,0.08,--,0.40,0.00
Japaraíba,MG,4418,Em elaboração,0.00,0.35,0.35,0.00
Gavião,BA,4417,Em elaboração,0.41,--,0.43,--
Materlândia,MG,4415,Sim,0.54,0.31,0.45,0.01
Pindorama do Tocantins,TO,4414,Sim,0.35,--,0.43,0.11
Itajá,GO,4412,Em elaboração,0.18,--,0.00,0.01
Vargem Bonita,SC,4411,Sim,0.16,0.44,--,0.00
São João do Tigre,PB,4408,Não,--,--,--,--
Nova Guarita,MT,4407,Em elaboração,0.47,--,0.61,0.00
Logradouro,PB,4406,Sim,0.54,--,0.56,0.11
Sandovalina,SP,4405,Não,0.28,0.29,0.30,0.00
Itamarati de Minas,MG,4395,Sim,0.26,--,0.20,0.10
Ibarama,RS,4393,Sim,0.00,--,0.54,0.02
Nova Santa Rita,PI,4392,Não,0.72,--,--,--
Recursolândia,TO,4389,Sim,0.15,--,--,0.00
Aiquara,BA,4387,Não,0.42,0.41,0.39,0.02
Santa Bárbara do Tugúrio,MG,4385,Sim,0.52,--,--,--
Joanésia,MG,4382,Em elaboração,0.45,0.62,0.50,0.04
Várzea Grande,PI,4382,Não,0.35,--,0.40,0.00
Doutor Maurício Cardoso,RS,4380,Sim,0.51,--,0.51,0.00
Itapirapuã,GO,4380,Em elaboração,0.00,--,0.29,0.00
Gramado Xavier,RS,4378,Sim,0.55,--,0.57,0.08
Vila Maria,RS,4368,Em elaboração,0.00,--,0.35,0.00
Ipira,SC,4367,Sim,0.27,--,0.46,0.00
Poço de José de Moura,PB,4366,Não,0.68,--,0.38,0.00
Gonçalves,MG,4360,Não,0.72,0.88,0.53,0.00
Juramento,MG,4359,Sim,0.45,0.55,0.23,0.00
Santa Efigênia de Minas,MG,4354,Sim,0.41,--,0.34,--
Domingos Mourão,PI,4352,Não,0.70,--,0.60,0.00
Nova Rosalândia,TO,4348,Não,0.12,--,0.35,0.00
Junco do Maranhão,MA,4334,Em elaboração,0.77,--,0.15,0.00
Santana do Riacho,MG,4334,Sim,-0.04,--,0.08,0.00
Passagem Franca do Piauí,PI,4331,Não,0.39,--,--,0.00
Nova Itaberaba,SC,4327,Sim,0.60,--,0.64,0.00
Pracinha,SP,4327,Em elaboração,0.52,0.07,0.30,0.00
Matrinchã,GO,4321,Em elaboração,0.31,--,--,--
Sebastião Leal,PI,4311,Sim,0.44,--,0.53,0.00
Pinhal Grande,RS,4309,Em elaboração,0.00,0.57,0.58,0.00
Riacho Frio,PI,4306,Não,0.21,--,--,--
Ponto Chique,MG,4305,Não,0.40,0.02,0.35,0.03
Nova Santa Bárbara,PR,4304,Em elaboração,0.16,--,0.18,0.00
Francisco Ayres,PI,4300,Em elaboração,0.31,--,0.52,0.05
Paraná,RN,4298,Em elaboração,1.00,--,0.48,0.00
Itapirapuã Paulista,SP,4294,Sim,0.36,0.52,0.30,0.26
Ocauçu,SP,4294,Em elaboração,0.20,0.20,0.20,0.00
Serra Azul de Minas,MG,4292,Em elaboração,0.65,0.75,0.59,0.00
São José da Safira,MG,4291,Sim,0.40,0.25,0.04,0.00
Marquinho,PR,4283,Não,0.47,--,0.50,0.00
Planaltina do Paraná,PR,4281,Sim,0.15,--,0.32,--
São Francisco do Oeste,RN,4281,Sim,0.00,--,0.27,0.01
Vila Nova do Sul,RS,4274,Sim,0.48,0.64,0.48,0.00
Campo Novo,RS,4273,Não,0.00,--,0.00,0.14
Bom Jesus da Penha,MG,4270,Não,0.28,0.00,0.27,0.00
Arabutã,SC,4268,Sim,0.51,--,0.69,0.07
Aporé,GO,4266,Em elaboração,0.33,--,0.34,--
Prata,PB,4265,Não,0.31,0.37,0.37,0.00
União de Minas,MG,4265,Não,0.48,0.47,0.02,0.00
Pescador,MG,4261,Em elaboração,0.28,--,0.08,0.02
Brás Pires,MG,4255,Sim,0.51,--,0.52,0.03
Maximiliano de Almeida,RS,4254,Sim,0.39,--,0.39,0.00
Fortaleza dos Valos,RS,4252,Sim,0.35,--,0.10,0.00
Novo Cabrais,RS,4246,Sim,0.01,0.79,0.44,0.06
Marcelino Ramos,RS,4239,Sim,0.47,--,0.47,0.00
Barra do Quaraí,RS,4238,Sim,0.29,0.76,0.29,0.03
Divino de São Lourenço,ES,4236,Em elaboração,0.62,0.62,0.34,0.13
Três Palmeiras,RS,4232,Sim,0.02,--,0.52,0.00
Venha-Ver,RN,4232,Em elaboração,0.63,--,0.41,0.00
Olho-d'Água do Borges,RN,4231,Não,0.15,0.80,0.34,0.00
Cruzeiro do Iguaçu,PR,4229,Em elaboração,0.02,--,0.00,0.00
Ipiaçu,MG,4229,Em elaboração,--,--,0.09,0.00
Modelo,SC,4227,Sim,0.24,--,--,0.08
Belém,AL,4226,Não,--,--,--,--
Dona Emma,SC,4224,Sim,0.34,--,0.50,0.01
Cabrália Paulista,SP,4222,Sim,0.03,0.03,0.13,0.00
São José do Alegre,MG,4222,Não,0.27,0.28,0.27,0.03
Nova Luzitânia,SP,4217,Sim,0.26,0.26,0.10,0.00
Altair,SP,4211,Sim,0.18,0.19,--,--
Caraúbas,PB,4206,Não,0.50,0.14,0.31,0.00
Dores do Turvo,MG,4202,Sim,0.52,0.19,0.50,--
Alfredo Marcondes,SP,4201,Sim,0.00,0.01,0.16,0.00
Caiabu,SP,4195,Não,0.09,0.18,0.19,0.00
Riacho de Santana,RN,4194,Em elaboração,0.67,--,0.59,0.00
Novo Barreiro,RS,4185,Não,0.01,--,0.50,0.09
Iporanga,SP,4180,Sim,0.43,0.48,0.28,0.10
Tibau,RN,4173,Em elaboração,0.00,--,0.47,0.01
Anhumas,SP,4172,Em elaboração,0.00,0.00,0.18,0.00
São João do Cariri,PB,4170,Não,0.13,--,--,--
Monte Castelo,SP,4166,Não,--,--,--,--
Carrasco Bonito,TO,4165,Sim,0.06,0.86,0.47,0.13
Doutor Pedrinho,SC,4164,Sim,0.34,--,0.00,0.04
Conquista D'Oeste,MT,4163,Sim,0.24,--,0.39,0.00
Teixeirópolis,RO,4160,Não,0.97,--,0.65,0.07
São José do Sabugi,PB,4153,Em elaboração,0.20,0.45,0.36,0.00
Piedade de Ponte Nova,MG,4141,Não,0.26,--,--,--
São José do Barreiro,SP,4141,Sim,0.07,0.07,0.15,0.01
Populina,SP,4136,Em elaboração,0.00,0.00,0.03,0.00
Nova Independência,SP,4135,Em elaboração,0.00,0.00,0.22,0.00
Capitão Gervásio Oliveira,PI,4127,Não,--,--,--,--
Paes Landim,PI,4124,Em elaboração,0.22,--,0.41,0.04
Aparecida d'Oeste,SP,4122,Sim,0.06,0.08,0.18,0.00
Rio Branco do Ivaí,PR,4121,Em elaboração,0.35,--,0.76,0.01
Mossâmedes,GO,4120,Sim,0.27,--,0.35,0.00
Taquaraçu de Minas,MG,4120,Sim,0.54,0.77,--,--
Jundiá,AL,4119,Em elaboração,0.32,--,0.33,0.17
Tocos do Moji,MG,4117,Não,0.39,--,0.39,0.01
Paranapuã,SP,4112,Em elaboração,0.00,0.00,0.11,0.00
São Miguel do Passa Quatro,GO,4105,Sim,0.44,--,0.00,0.00
São Geraldo do Baixio,MG,4104,Sim,0.31,0.34,0.30,0.07
Major Sales,RN,4102,Sim,--,--,0.07,--
São José do Povo,MT,4102,Não,0.62,--,0.52,0.00
Formoso,GO,4098,Em elaboração,0.30,--,0.26,0.00
Mariápolis,SP,4098,Em elaboração,0.12,0.15,0.00,0.00
Veríssimo,MG,4090,Sim,0.44,0.06,0.20,0.00
Lagoa do Piauí,PI,4086,Em elaboração,0.00,--,0.40,0.00
Pau D'Arco do Piauí,PI,4084,Não,--,--,0.85,0.00
Marilac,MG,4079,Não,0.28,--,0.02,--
Alto Alegre,SP,4078,Sim,0.09,0.13,0.00,0.00
Santa Cruz de Salinas,MG,4074,Não,0.57,0.74,0.61,--
Corumbataí,SP,4072,Sim,0.38,0.46,0.46,0.00
Dom Macedo Costa,BA,4072,Não,0.00,--,0.55,0.00
Passos Maia,SC,4072,Sim,0.54,--,0.51,0.07
Conceição do Tocantins,TO,4070,Em elaboração,0.04,--,0.30,0.00
Novo Horizonte do Norte,MT,4069,Não,0.41,--,0.53,0.00
Rondolândia,MT,4069,Sim,--,--,--,--
Assunção,PB,4067,Não,0.29,0.19,0.19,--
Presidente Alves,SP,4067,Sim,0.02,0.04,0.17,0.00
Suzanápolis,SP,4063,Em elaboração,0.33,0.34,0.00,0.00
Lagoa dos Patos,MG,4062,Sim,0.35,0.55,0.27,--
Ribeirão Vermelho,MG,4061,Sim,0.11,0.08,0.00,0.04
Porto Vitória,PR,4057,Não,0.38,--,0.15,0.00
Senador Modestino Gonçalves,MG,4056,Sim,0.57,0.01,0.61,0.13
Ilópolis,RS,4054,Sim,0.46,--,0.46,0.00
Lucrécia,RN,4053,Sim,0.34,0.37,0.01,0.25
Carrancas,MG,4052,Sim,0.31,--,0.00,0.00
Santa Mônica,PR,4052,Em elaboração,0.02,--,0.59,0.00
Virmond,PR,4051,Não,0.31,--,--,0.00
Ibiquera,BA,4047,Não,0.45,--,0.37,0.00
Santa Cruz dos Milagres,PI,4046,Não,--,--,0.42,0.03
Inúbia Paulista,SP,4045,Em elaboração,0.10,0.10,0.01,0.02
Bela Vista do Piauí,PI,4044,Não,0.67,--,0.38,0.00
Coivaras,PI,4044,Não,0.13,--,0.78,0.00
Quatro Pontes,PR,4043,Sim,0.00,--,0.00,0.00
Munhoz de Melo,PR,4034,Sim,0.16,--,0.01,0.00
Portelândia,GO,4032,Sim,0.17,--,0.19,0.00
Witmarsum,SC,4032,Em elaboração,0.35,--,0.47,0.26
Marliéria,MG,4030,Não,0.00,0.29,0.01,0.00
Contendas do Sincorá,BA,4025,Não,0.51,--,0.51,0.07
Frutuoso Gomes,RN,4015,Em elaboração,0.19,--,0.34,0.00
Jateí,MS,4015,Em elaboração,0.54,0.54,0.31,0.00
Goianá,MG,4014,Sim,0.24,0.13,0.19,0.03
Bom Sucesso de Itararé,SP,4013,Não,0.34,0.37,0.03,0.04
Nova Nazaré,MT,4013,Em elaboração,0.62,--,--,0.00
Nossa Senhora das Graças,PR,4009,Não,0.00,--,0.00,0.00
Cumbe,SE,4008,Não,0.03,0.50,0.13,0.00
Canhoba,SE,4003,Em elaboração,0.00,--,0.00,--
Treviso,SC,4002,Sim,0.48,--,0.00,0.06
Kaloré,PR,3996,Sim,0.00,--,0.29,0.00
Acaiaca,MG,3995,Sim,0.02,0.36,0.00,0.57
Lajedão,BA,3993,Em elaboração,0.35,0.81,0.25,0.00
Boa Esperança,PR,3991,Sim,0.00,--,0.12,0.00
Barcelona,RN,3989,Não,0.00,--,--,--
Olivedos,PB,3989,Não,0.35,0.00,0.25,--
Ibirapuitã,RS,3988,Sim,0.00,--,0.41,0.01
Mãe d'Água,PB,3988,Não,0.61,--,0.61,0.00
Santana do Deserto,MG,3985,Sim,0.63,--,0.36,0.06
Bugre,MG,3984,Sim,0.66,0.00,0.62,--
Marques de Souza,RS,3981,Em elaboração,0.64,--,0.55,0.43
Espigão Alto do Iguaçu,PR,3980,Não,0.32,--,0.65,0.00
Porteirão,GO,3979,Em elaboração,0.13,--,--,0.00
Pedra do Indaiá,MG,3977,Sim,0.47,0.50,0.24,0.00
Cafezal do Sul,PR,3975,Em elaboração,0.00,--,0.17,0.01
Salgadinho,PB,3975,Não,0.80,--,0.34,--
São Miguel do Aleixo,SE,3964,Não,0.05,--,0.53,0.02
Cajuri,MG,3961,Sim,0.46,0.46,0.17,0.00
Barra D'Alcântara,PI,3953,Em elaboração,--,--,0.47,--
Jundiá,RN,3945,Em elaboração,0.73,--,0.52,0.00
Conceição da Barra de Minas,MG,3939,Não,0.34,0.56,0.31,0.00
Canavieira,PI,3938,Em elaboração,0.47,--,0.56,0.00
Itaju,SP,3937,Sim,0.22,0.22,0.27,0.00
Santa Rosa de Lima,SE,3933,Não,0.00,--,0.16,0.00
Ewbank da Câmara,MG,3932,Não,0.05,--,0.53,0.09
Paquetá,PI,3931,Em elaboração,0.80,--,0.49,0.00
Pedras Grandes,SC,3931,Não,--,--,0.36,--
Gameleira de Goiás,GO,3923,Em elaboração,0.66,--,--,--
Santana de Cataguases,MG,3909,Sim,0.24,0.19,0.19,0.41
Areias,SP,3906,Sim,0.33,0.33,0.00,0.00
Jaú do Tocantins,TO,3906,Sim,0.44,--,0.63,0.00
Quadra,SP,3902,Sim,0.64,0.81,0.51,0.00
Iraceminha,SC,3901,Sim,0.54,--,0.65,0.02
Caldazinha,GO,3900,Sim,0.43,--,0.41,0.00
Pilões,RN,3900,Em elaboração,0.06,--,--,--
Jaborá,SC,3899,Sim,0.35,--,0.54,0.01
Pontão,RS,3898,Não,0.09,--,0.60,0.00
São José de Princesa,PB,3898,Em elaboração,--,--,--,0.00
Leópolis,PR,3896,Sim,0.00,--,0.42,0.00
Mariana Pimentel,RS,3892,Não,0.83,--,0.45,0.00
Conselheiro Mairinck,PR,3891,Sim,0.10,0.22,0.31,0.02
Minduri,MG,3891,Em elaboração,0.19,0.09,0.12,0.00
Pareci Novo,RS,3885,Sim,0.02,--,0.50,0.22
São Pedro da Serra,RS,3881,Sim,0.57,--,0.54,--
Hugo Napoleão,PI,3880,Não,0.01,--,--,--
Poço Dantas,PB,3877,Em elaboração,0.83,0.74,0.74,0.00
Indiaporã,SP,3876,Sim,0.05,0.13,0.00,0.00
Amaralina,GO,3875,Em elaboração,0.68,--,0.68,0.00
Xavantina,SC,3873,Sim,0.74,--,0.73,0.00
Atalaia,PR,3871,Sim,0.00,--,0.31,--
Medeiros,MG,3861,Sim,0.45,0.00,0.45,0.00
Putinga,RS,3861,Sim,0.58,--,0.62,0.00
Santo Antônio do Grama,MG,3861,Sim,0.18,0.02,0.20,--
São Geraldo da Piedade,MG,3860,Sim,0.69,0.69,0.40,0.43
São José do Divino,MG,3851,Sim,0.33,0.17,0.18,0.03
Vista Serrana,PB,3850,Não,0.21,--,0.55,--
São Valério,TO,3848,Sim,0.38,--,0.38,--
Varjão,GO,3848,Sim,0.38,--,0.00,0.00
Rio Crespo,RO,3843,Não,0.83,--,0.68,0.00
Pejuçara,RS,3840,Sim,0.33,--,0.33,0.02
São Francisco,SE,3837,Não,0.26,0.34,0.01,0.00
Campina do Simão,PR,3831,Em elaboração,0.42,--,0.40,--
Campo Azul,MG,3830,Em elaboração,0.58,0.27,0.58,0.00
Redenção da Serra,SP,3827,Sim,0.51,0.60,0.05,0.00
Brejo do Piauí,PI,3824,Não,0.61,--,0.63,--
Cotiporã,RS,3824,Sim,0.44,0.93,0.22,0.00
Fátima,TO,3824,Sim,0.02,--,0.06,0.00
Santa Isabel,GO,3821,Em elaboração,0.62,--,0.63,--
Itapiratins,TO,3814,Não,0.46,--,0.46,0.00
Meridiano,SP,3813,Em elaboração,0.00,0.00,0.00,0.00
Brazabrantes,GO,3812,Não,0.37,--,0.02,0.00
Quinze de Novembro,RS,3810,Não,0.00,--,0.00,0.00
Aurora do Tocantins,TO,3809,Não,0.09,--,0.28,0.00
Santo Inácio do Piauí,PI,3809,Em elaboração,0.26,--,--,--
Prado Ferreira,PR,3806,Sim,0.00,0.00,0.12,0.00
Santa Fé de Minas,MG,3806,Sim,0.49,--,--,--
Pedra Branca,PB,3802,Não,0.15,0.36,0.35,0.00
Guarani de Goiás,GO,3801,Não,0.55,--,0.54,0.00
Santa Lúcia,PR,3795,Sim,0.12,--,0.00,0.00
Braço do Trombudo,SC,3794,Sim,0.01,--,0.45,0.06
São João do Itaperiú,SC,3784,Sim,0.46,--,0.00,0.00
Alvarenga,MG,3783,Sim,0.47,0.39,0.44,0.03
Diogo de Vasconcelos,MG,3779,Não,0.12,0.58,0.50,0.00
Nazaré,TO,3772,Não,0.01,--,0.54,--
São Brás do Suaçuí,MG,3770,Sim,0.12,--,0.11,0.00
Guapirama,PR,3767,Sim,0.00,0.09,0.00,0.00
Santo Antônio do Itambé,MG,3763,Não,0.69,--,0.70,0.00
Tesouro,MT,3761,Em elaboração,--,--,--,--
Rancho Alegre,PR,3760,Sim,0.00,--,0.00,0.02
Guarará,MG,3755,Não,0.20,--,0.11,0.03
Nova Santa Helena,MT,3755,Sim,--,--,0.43,0.00
Santana dos Montes,MG,3753,Em elaboração,0.17,0.25,0.05,0.38
Itutinga,MG,3749,Sim,0.31,0.32,0.15,0.01
Mutunópolis,GO,3749,Em elaboração,0.31,--,0.27,0.00
Caiçara do Rio do Vento,RN,3745,Em elaboração,0.01,0.73,--,--
Capão do Cipó,RS,3745,Não,--,--,0.73,--
Nova Roma do Sul,RS,3743,Sim,0.53,--,0.53,0.00
Elisiário,SP,3742,Sim,0.00,0.00,0.00,0.00
Heitoraí,GO,3742,Não,0.24,--,0.26,0.00
Campanário,MG,3739,Não,0.30,--,--,--
Água Santa,RS,3738,Sim,0.61,--,0.31,0.00
Jaboticaba,RS,3738,Sim,0.64,--,0.35,0.00
São José do Peixe,PI,3737,Em elaboração,0.29,--,0.33,0.00
Lajedinho,BA,3735,Não,0.39,0.88,0.39,0.00
Matutina,MG,3733,Sim,0.31,0.10,0.28,0.06
Paraú,RN,3732,Em elaboração,0.10,--,0.13,0.27
Paim Filho,RS,3731,Não,0.47,--,0.36,0.02
Lizarda,TO,3727,Não,0.25,--,0.31,0.00
Saltinho,SC,3727,Sim,0.45,--,0.62,0.00
Malhada dos Bois,SE,3715,Não,0.01,--,0.54,0.00
Cacimba de Areia,PB,3708,Não,0.44,--,0.53,0.00
Piquerobi,SP,3706,Sim,0.14,0.16,0.25,0.03
Nova Alvorada,RS,3698,Sim,0.00,--,0.58,0.04
Campo Bonito,PR,3694,Sim,0.08,--,0.43,0.24
Macedônia,SP,3686,Em elaboração,0.17,0.17,0.19,0.00
Córrego do Bom Jesus,MG,3685,Não,0.04,0.74,0.15,0.01
Chiapetta,RS,3684,Sim,0.39,--,0.24,0.07
Ouro Verde de Goiás,GO,3679,Não,0.28,--,0.33,0.00
Edealina,GO,3678,Em elaboração,0.29,--,0.31,0.00
Tabuleiro,MG,3669,Sim,0.31,0.05,0.00,0.02
Presidente Kennedy,TO,3668,Sim,0.12,--,0.02,--
Catas Altas da Noruega,MG,3665,Sim,0.59,--,--,--
Lafaiete Coutinho,BA,3663,Não,0.50,0.45,0.04,0.00
Campestre de Goiás,GO,3662,Não,0.29,--,0.30,0.00
Pavussu,PI,3662,Não,0.24,--,0.51,0.00
Pratinha,MG,3658,Sim,0.43,0.43,0.46,0.00
Nova Brasilândia,MT,3656,Sim,0.00,--,0.20,0.00
Cruzeiro da Fortaleza,MG,3651,Sim,0.14,0.00,0.15,0.00
Pedrinópolis,MG,3651,Sim,0.28,0.11,0.08,0.00
Rifaina,SP,3651,Sim,0.07,0.10,0.13,0.00
Riachão,PB,3650,Não,1.00,--,0.32,0.00
Riacho da Cruz,RN,3648,Sim,0.46,--,0.05,0.00
Estrela Velha,RS,3646,Sim,0.05,--,0.34,0.03
Piratuba,SC,3637,Sim,0.01,--,0.31,0.01
Dom Bosco,MG,3635,Sim,0.15,0.67,0.40,0.00
Pinheiro Preto,SC,3635,Sim,0.21,0.64,0.00,0.00
Bandeirantes do Tocantins,TO,3631,Sim,0.12,--,0.46,0.00
Sossêgo,PB,3631,Sim,1.00,--,0.50,--
Campinaçu,GO,3628,Em elaboração,0.39,--,0.41,0.00
Muricilândia,TO,3623,Sim,0.09,--,0.43,0.00
Sarutaiá,SP,3623,Sim,0.00,0.08,0.00,0.00
Catolândia,BA,3619,Sim,0.27,--,--,--
São José do Bonfim,PB,3619,Não,0.34,--,0.59,0.00
Álvares Florence,SP,3616,Sim,0.34,0.34,0.32,0.00
Carvalhópolis,MG,3614,Em elaboração,0.27,0.27,0.00,0.00
Jaquirana,RS,3611,Não,0.42,0.67,0.36,0.05
Itaúba,MT,3609,Sim,0.00,--,--,--
Belém do Piauí,PI,3607,Não,0.32,--,0.42,0.14
São José dos Cordeiros,PB,3607,Não,0.19,--,0.54,0.00
Severiano de Almeida,RS,3607,Sim,0.64,--,0.32,0.04
Platina,SP,3606,Em elaboração,0.21,0.21,0.22,0.00
São Fernando,RN,3606,Em elaboração,0.00,0.33,0.28,--
Alvorada de Minas,MG,3605,Sim,0.70,0.58,0.30,0.01
Quartel Geral,MG,3603,Sim,0.23,0.77,0.16,0.00
Santa Rita do Trivelato,MT,3602,Em elaboração,0.03,--,0.45,0.00
Santo Antônio do Aventureiro,MG,3602,Sim,0.36,--,0.33,0.02
São José das Palmeiras,PR,3601,Sim,0.00,--,0.37,0.00
Sebastianópolis do Sul,SP,3595,Em elaboração,0.13,0.13,--,--
Santa Inês,PB,3591,Não,0.55,--,0.60,0.00
Águas de São Pedro,SP,3588,Sim,0.03,0.08,0.00,0.00
Taquarussu,MS,3588,Sim,0.31,--,0.30,0.00
Cajazeiras do Piauí,PI,3586,Não,0.00,--,0.67,0.00
Ruy Barbosa,RN,3584,Em elaboração,0.07,--,0.30,0.00
Cachoeira da Prata,MG,3580,Sim,0.04,0.05,0.05,0.04
Palminópolis,GO,3578,Sim,0.22,--,0.24,0.00
Presidente Juscelino,MG,3572,Sim,0.49,0.52,0.53,0.02
Bernardino Batista,PB,3571,Não,1.00,--,0.72,0.00
Vieiras,MG,3570,Não,0.49,0.10,0.50,--
Duas Estradas,PB,3569,Não,0.00,--,--,--
Vargeão,SC,3569,Sim,0.31,--,0.00,0.01
São José dos Ausentes,RS,3559,Sim,0.41,0.51,0.02,0.02
Emas,PB,3556,Não,0.29,--,0.37,0.00
Novo Horizonte do Sul,MS,3556,Em elaboração,0.47,--,0.00,0.00
Nova Módica,MG,3548,Sim,0.35,0.48,0.39,0.11
Arroio Trinta,SC,3547,Em elaboração,0.08,0.36,0.32,--
Cordislândia,MG,3546,Não,0.29,0.20,0.20,0.00
Adolfo,SP,3545,Sim,0.00,0.00,--,0.00
